model,iteration,rmse,rae,corr,run,mean_time,std_time,time_interval
MTGNN,1,0.0241,0.02,0.9796,1,33.7434,0.1509,30-35
MTGNN,2,0.026,0.0234,0.9793,1,33.7434,0.1509,30-35
MTGNN,3,0.0209,0.0172,0.9785,1,33.7434,0.1509,30-35
MTGNN,4,0.023,0.0196,0.9787,1,33.7434,0.1509,30-35
MTGNN,5,0.0377,0.0377,0.9803,1,33.7434,0.1509,30-35
MTGNN,6,0.0224,0.0191,0.9788,1,33.7434,0.1509,30-35
MTGNN,7,0.0221,0.0181,0.9804,1,33.7434,0.1509,30-35
MTGNN,8,0.0457,0.0467,0.9797,1,33.7434,0.1509,30-35
MTGNN,9,0.0274,0.0255,0.9791,1,33.7434,0.1509,30-35
MTGNN,10,0.0261,0.0232,0.9794,1,33.7434,0.1509,30-35
MTGAN,1,0.0328,0.0283,0.9624,1,53.8005,0.502,53-56
MTGAN,2,0.0349,0.0302,0.9679,1,53.8005,0.502,53-56
MTGAN,3,0.0497,0.0487,0.9666,1,53.8005,0.502,53-56
MTGAN,4,0.0497,0.0487,0.9685,1,53.8005,0.502,53-56
MTGAN,5,0.0596,0.0596,0.9636,1,53.8005,0.502,53-56
MTGAN,6,0.0379,0.0347,0.9661,1,53.8005,0.502,53-56
MTGAN,7,0.0666,0.065,0.9603,1,53.8005,0.502,53-56
MTGAN,8,0.0379,0.0334,0.9647,1,53.8005,0.502,53-56
MTGAN,9,0.034,0.0299,0.9656,1,53.8005,0.502,53-56
MTGAN,10,0.0589,0.0578,0.9621,1,53.8005,0.502,53-56
MTGNNAH,1,0.0305,0.0292,0.9793,1,34.9893,0.0249,30-35
MTGNNAH,2,0.0265,0.0243,0.9797,1,34.9893,0.0249,30-35
MTGNNAH,3,0.0287,0.0261,0.9784,1,34.9893,0.0249,30-35
MTGNNAH,4,0.0186,0.0147,0.98,1,34.9893,0.0249,30-35
MTGNNAH,5,0.0333,0.0316,0.9802,1,34.9893,0.0249,30-35
MTGNNAH,6,0.0219,0.0186,0.9799,1,34.9893,0.0249,30-35
MTGNNAH,7,0.0337,0.0331,0.9797,1,34.9893,0.0249,30-35
MTGNNAH,8,0.0215,0.018,0.9789,1,34.9893,0.0249,30-35
MTGNNAH,9,0.0185,0.0145,0.9791,1,34.9893,0.0249,30-35
MTGNNAH,10,0.0217,0.0184,0.9792,1,34.9893,0.0249,30-35
MTGANAH,1,0.0318,0.026,0.968,1,56.4672,0.9931,53-56
MTGANAH,2,0.0302,0.0265,0.9697,1,56.4672,0.9931,53-56
MTGANAH,3,0.0549,0.0537,0.967,1,56.4672,0.9931,53-56
MTGANAH,4,0.0528,0.0519,0.967,1,56.4672,0.9931,53-56
MTGANAH,5,0.0332,0.028,0.9628,1,56.4672,0.9931,53-56
MTGANAH,6,0.0548,0.0521,0.9621,1,56.4672,0.9931,53-56
MTGANAH,7,0.0558,0.054,0.967,1,56.4672,0.9931,53-56
MTGANAH,8,0.0757,0.0804,0.9672,1,56.4672,0.9931,53-56
MTGANAH,9,0.0324,0.0283,0.9662,1,56.4672,0.9931,53-56
MTGANAH,10,0.0834,0.0814,0.9669,1,56.4672,0.9931,53-56
MTGNNAH-Opt,1,0.027,0.0252,0.9795,1,54.0609,1.5347,53-56
MTGNNAH-Opt,2,0.0184,0.0144,0.9794,1,54.0609,1.5347,53-56
MTGNNAH-Opt,3,0.0192,0.0154,0.9796,1,54.0609,1.5347,53-56
MTGNNAH-Opt,4,0.0191,0.0152,0.9792,1,54.0609,1.5347,53-56
MTGNNAH-Opt,5,0.0297,0.0271,0.9788,1,54.0609,1.5347,53-56
MTGNNAH-Opt,6,0.0378,0.0387,0.9793,1,54.0609,1.5347,53-56
MTGNNAH-Opt,7,0.0234,0.0196,0.9783,1,54.0609,1.5347,53-56
MTGNNAH-Opt,8,0.0342,0.0324,0.9789,1,54.0609,1.5347,53-56
MTGNNAH-Opt,9,0.0272,0.0238,0.9785,1,54.0609,1.5347,53-56
MTGNNAH-Opt,10,0.0232,0.021,0.9795,1,54.0609,1.5347,53-56
MTGNN,1,0.02,0.0161,0.9797,2,31.5438,0.3433,30-35
MTGNN,2,0.0342,0.0331,0.9799,2,31.5438,0.3433,30-35
MTGNN,3,0.0212,0.0171,0.979,2,31.5438,0.3433,30-35
MTGNN,4,0.0287,0.0254,0.978,2,31.5438,0.3433,30-35
MTGNN,5,0.0215,0.018,0.979,2,31.5438,0.3433,30-35
MTGNN,6,0.0226,0.0202,0.9802,2,31.5438,0.3433,30-35
MTGNN,7,0.0238,0.0213,0.9796,2,31.5438,0.3433,30-35
MTGNN,8,0.0252,0.0222,0.9793,2,31.5438,0.3433,30-35
MTGNN,9,0.04,0.0408,0.9792,2,31.5438,0.3433,30-35
MTGNN,10,0.0232,0.0189,0.9792,2,31.5438,0.3433,30-35
MTGNNAH,1,0.0214,0.0186,0.9804,2,33.6913,0.0635,30-35
MTGNNAH,2,0.0192,0.0152,0.9797,2,33.6913,0.0635,30-35
MTGNNAH,3,0.0216,0.0187,0.9797,2,33.6913,0.0635,30-35
MTGNNAH,4,0.0205,0.0163,0.9792,2,33.6913,0.0635,30-35
MTGNNAH,5,0.0201,0.0161,0.979,2,33.6913,0.0635,30-35
MTGNNAH,6,0.0297,0.0283,0.9799,2,33.6913,0.0635,30-35
MTGNNAH,7,0.0228,0.0197,0.9795,2,33.6913,0.0635,30-35
MTGNNAH,8,0.0202,0.0161,0.9805,2,33.6913,0.0635,30-35
MTGNNAH,9,0.0188,0.0148,0.9802,2,33.6913,0.0635,30-35
MTGNNAH,10,0.0316,0.0308,0.9784,2,33.6913,0.0635,30-35
